Baseline,Mean_Score,Median,Max,Pct_<=3,Pct_<=4,Pct_<=5,Failure_Rate%
random,4.0203,4.0,6,27.64,71.54,94.72,0.81
frequency,3.7927,4.0,6,39.84,79.67,95.53,1.63
entropy,3.4431,3.0,5,56.1,97.97,100.0,0.0
tree_soare,3.4309,3.0,5,58.54,95.93,100.0,0.0
tree_salet,3.4512,3.0,5,53.66,96.75,100.0,0.0
